run_date_bj,strategy,futures,underlying,us_signal,us_ret_pct,threshold_pct,side,friction_bps,entry_open,exit_close,intraday_high,intraday_low,gross_ret_pct,net_ret_pct,gross_pnl_cny,net_pnl_cny,friction_cny,n_contracts,notional_per_contract_cny,mfe_pct,mae_pct
2026-05-27,IM_fade_short,IM,中证1000,NDX,1.185,1.0,-1,6.0,8613.0,8441.2,8664.8,8388.0,1.9947,1.9347,34359,33326,1033,1,1722600,2.6123,0.6014
2026-06-12,IH_fade_short,IH,上证50,NDX,2.543,2.0,-1,6.0,2846.4,2897.2,2902.6,2844.0,-1.7847,-1.8447,-30479,-31504,1024,2,853920,0.0843,1.9744
2026-06-12,IF_fade_short,IF,沪深300,NDX,2.543,2.0,-1,6.0,4650.0,4671.8,4690.0,4630.4,-0.4688,-0.5288,-6539,-7376,836,1,1395000,0.4215,0.8602
2026-06-12,IC_fade_short,IC,中证500,SPX,1.752,1.5,-1,6.0,8130.0,8117.2,8237.6,8077.0,0.1574,0.0974,2560,1584,975,1,1626000,0.6519,1.3235
2026-06-12,IM_fade_short,IM,中证1000,NDX,2.543,1.0,-1,6.0,8250.0,8196.8,8323.8,8165.2,0.6448,0.5848,10640,9650,989,1,1650000,1.0279,0.8945
2026-06-16,IH_fade_short,IH,上证50,NDX,3.071,2.0,-1,6.0,2897.2,2872.0,2898.4,2867.0,0.8698,0.8098,15119,14077,1042,2,869160,1.0424,0.0414
2026-06-16,IF_fade_short,IF,沪深300,NDX,3.071,2.0,-1,6.0,4781.8,4767.0,4798.0,4757.4,0.3095,0.2495,4440,3579,860,1,1434540,0.5103,0.3388
2026-06-16,IC_fade_short,IC,中证500,SPX,1.653,1.5,-1,6.0,8206.0,8278.0,8324.6,8181.2,-0.8774,-0.9374,-14399,-15384,984,1,1641200,0.3022,1.4453
2026-06-16,IM_fade_short,IM,中证1000,NDX,3.071,1.0,-1,6.0,8234.4,8349.0,8390.4,8215.0,-1.3917,-1.4517,-22920,-23908,988,1,1646880,0.2356,1.8945
2026-06-22,IM_fade_short,IM,中证1000,NDX,1.907,1.0,-1,6.0,8546.0,8524.2,8558.0,8367.0,0.2551,0.1951,4359,3334,1025,1,1709200,2.0945,0.1404
2026-06-30,IH_fade_short,IH,上证50,NDX,2.066,2.0,-1,6.0,2916.0,2938.0,2940.8,2913.4,-0.7545,-0.8145,-13199,-14249,1049,2,874800,0.0892,0.8505
2026-06-30,IF_fade_short,IF,沪深300,NDX,2.066,2.0,-1,6.0,4790.0,4855.8,4866.0,4786.0,-1.3737,-1.4337,-19740,-20602,862,1,1437000,0.0835,1.5866
2026-06-30,IM_fade_short,IM,中证1000,NDX,2.066,1.0,-1,6.0,8300.0,8504.2,8518.8,8270.0,-2.4602,-2.5202,-40839,-41835,995,1,1660000,0.3614,2.6361
