n_trades,trades_per_year,hit_rate,mean_ret_bps,median_ret_bps,std_ret_bps,best_ret_bps,worst_ret_bps,total_ret_pct,max_dd_pct,sharpe_ann,t_stat,name,family,us_code,cn_fut,threshold,sample_start
481,34.40750513046027,0.4781704781704782,-5.209198329591557,-2.4513839602564533,122.79303052760895,620.5949937557691,-387.2113457027078,-24.930288394644464,-33.876108359719446,-0.24884204767060747,-0.9304000240374333,naive_short_SPX_IF_thr0.005,naive_short,SPX,IF,0.005,all
481,34.40750513046027,0.4594594594594595,-6.7908016704084595,-9.548616039743546,122.79303052760896,375.2113457027077,-632.5949937557691,-30.449572277966976,-33.21501839116996,-0.3243948273940876,-1.2128856759955358,bounce_long_SPX_IF_thr0.005,bounce_long,SPX,IF,0.005,all
655,46.85429492817355,0.5099236641221374,1.598031244049662,2.2954942368151934,107.09018300669044,600.4947468958925,-608.0533422609087,6.955631363457693,-18.789584685387027,0.10214339976857119,0.38190580124843165,fade_short_SPX_IF_thr0.005,fade_short,SPX,IF,0.005,all
250,17.8833186748754,0.444,-9.181471883449657,-11.202533506857286,129.56272964223731,620.5949937557691,-387.2113457027078,-22.159869261975594,-29.85531180946558,-0.29967897679963745,-1.1204751360468315,naive_short_SPX_IF_thr0.010,naive_short,SPX,IF,0.01,all
250,17.8833186748754,0.5,-2.818528116550355,-0.7974664931427119,129.5627296422373,375.2113457027077,-632.5949937557691,-8.741142091963262,-18.667270761069965,-0.09199544830838897,-0.3439634423470045,bounce_long_SPX_IF_thr0.010,bounce_long,SPX,IF,0.01,all
309,22.103781882146,0.5307443365695793,8.990006618359542,6.810658467845571,101.95055826668877,460.353354335588,-413.4626865671638,29.916914971409557,-8.303683319818699,0.4145755603192594,1.550064046237679,fade_short_SPX_IF_thr0.010,fade_short,SPX,IF,0.01,all
149,10.65845793022574,0.44966442953020136,-9.953592641719828,-13.415858528236894,143.93644739668096,620.5949937557691,-387.2113457027078,-15.098777625356552,-24.19678487513216,-0.22576482142108348,-0.8441161662317954,naive_short_SPX_IF_thr0.015,naive_short,SPX,IF,0.015,all
149,10.65845793022574,0.5100671140939598,-2.0464073582801823,1.4158585282368965,143.936447396681,375.2113457027077,-632.5949937557691,-4.487237631505714,-10.52210968175361,-0.0464160839635375,-0.17354593421672662,bounce_long_SPX_IF_thr0.015,bounce_long,SPX,IF,0.015,all
123,8.798592788038698,0.6341463414634146,22.925903072415576,15.63393111300871,118.0446186720536,460.353354335588,-413.4626865671638,31.419824379475948,-5.065516884459087,0.5760853982804912,2.153936094904964,fade_short_SPX_IF_thr0.015,fade_short,SPX,IF,0.015,all
83,5.937261800058634,0.4457831325301205,-10.79064795842346,-24.107258880544208,160.49990135385616,620.5949937557691,-387.2113457027078,-9.527200324631547,-21.100707407849896,-0.1638195972488449,-0.6125080493626363,naive_short_SPX_IF_thr0.020,naive_short,SPX,IF,0.02,all
83,5.937261800058634,0.5301204819277109,-1.2093520415765557,12.10725888054421,160.49990135385613,375.2113457027077,-632.5949937557691,-2.047800338757977,-11.24423565941961,-0.018359932151107344,-0.06864628174627259,bounce_long_SPX_IF_thr0.020,bounce_long,SPX,IF,0.02,all
61,4.363529756669598,0.6885245901639344,21.909842052198165,15.984190093082836,128.9648222200728,460.353354335588,-413.4626865671638,13.714719069519399,-7.2269120118037655,0.354884436660796,1.3268838264696374,fade_short_SPX_IF_thr0.020,fade_short,SPX,IF,0.02,all
51,3.648197009674582,0.43137254901960786,-2.0533471618868795,-28.284122562674646,191.78751684048717,620.5949937557691,-387.2113457027078,-1.9409955809932988,-15.786821793869754,-0.02044942907982257,-0.0764587395318481,naive_short_SPX_IF_thr0.025,naive_short,SPX,IF,0.025,all
51,3.648197009674582,0.5490196078431373,-9.946652838113124,16.284122562674646,191.78751684048717,375.2113457027077,-632.5949937557691,-5.828440890998243,-8.039227581376506,-0.09905941653222293,-0.3703750406551593,bounce_long_SPX_IF_thr0.025,bounce_long,SPX,IF,0.025,all
33,2.360598065083553,0.7272727272727273,23.49171571639161,9.974440894568344,133.95663446338688,460.353354335588,-413.4626865671638,7.742361088461958,-4.74449859298044,0.26943966649420076,1.0074128328773302,fade_short_SPX_IF_thr0.025,fade_short,SPX,IF,0.025,all
481,34.40750513046027,0.45114345114345117,-13.168115686368937,-14.294453084500828,142.82015194014392,607.6986301369861,-545.1832444427137,-49.475133115240986,-52.080211996612235,-0.5408299503757692,-2.0221188643160914,naive_short_SPX_IC_thr0.005,naive_short,SPX,IC,0.005,all
481,34.40750513046027,0.5031185031185031,1.1681156863689133,2.2944530845008306,142.82015194014392,533.1832444427135,-619.6986301369863,0.7026129822783389,-26.60273479011227,0.04797588081231844,0.17937788681149194,bounce_long_SPX_IC_thr0.005,bounce_long,SPX,IC,0.005,all
