year,1,2,3,4,5,6,7,8,9,10,11,12
2017,,,,,,,,,,0.010673901167121969,,
2018,,,0.0006810658467846231,-0.0007525940996947478,,,,,,0.038810535117816736,0.03798825647103099,0.015169761482357602
2019,-0.005476042890161348,,0.0008921396216359234,,,0.011395577667219436,,0.008917558254020408,,,,
2020,,-0.0039794487274263934,0.10109152446839165,-0.005911103585650501,0.010063819909725824,0.00030112640800994406,0.017207052174419646,0.007838091957981907,0.008427305819986408,-0.005591472900461691,0.00443150263123715,
2021,0.006792182316457618,-0.010086545347163356,0.029072374502172593,,-0.013925517780382868,,,,,,,-0.01828360904832682
2022,,0.0032222515631779025,-0.021930667940790793,-0.006590930509875248,0.013543529140457977,0.016676833927202983,0.015163931851977175,-0.020269336249800873,0.013198653290108275,0.00837099590751933,0.0007689974726201587,0.007871239815012032
2023,-0.0014982035928144954,0.0098051262723573,0.0036169645383161697,-0.008752038009502416,-0.0006876784183974527,,,,,,0.004341925965056781,
2024,-0.0028526636225266744,-8.406328823662435e-05,,-0.011061880912632271,,,,0.02276070654755813,0.00714358760165168,,-0.04134626865671642,
2025,0.003444542493959535,,0.004384244207226828,0.00822532773236806,0.005823938821963637,,,,,0.017139615569019107,0.007867151959434882,
2026,,-0.0075100836034805996,,-0.0030354036777321403,-0.0010938271604937766,,,,,,,
