year,1,2,3,4,5,6,7,8,9,10,11,12
2017,,,,,,,,,,0.006137588652482373,,
2018,,,0.009092585895117633,0.001267011345684299,,,,,,0.033216131439853136,0.031070446419826814,0.010381409424989219
2019,-0.007478228510825136,,0.005252231163130894,,,0.009940956006148749,,0.006228637147785987,,,,
2020,,-0.002536455569102869,0.09909632404354562,0.003248572431203245,0.010514492321654023,-0.0003229916897506957,0.03541942030459544,0.008853652547575308,-0.0011034932941433873,-0.0017839223346948208,0.012991488534508155,
2021,0.00865248301097754,-0.0021996587394689238,0.03593769908705058,,-0.0106998573466478,,,,,,,-0.013738092750682607
2022,,9.490706814818672e-05,-0.014292719762740491,-0.011027410517570613,0.014865664900157283,0.019123441707386668,0.016016552062384504,-0.02284832140863091,0.012712906924720047,0.02694351234937753,0.0008285714285714008,0.009786351617601108
2023,-0.00308483519695979,0.011344747974344926,0.0053628431164916,-0.008642089440060174,0.0020327504905244265,,,,,,0.0023520860329022675,
2024,-0.0030986614313762706,-0.0004355939169748968,,-0.0075720308066477005,,,,0.012517361610406619,0.0089668487855874,,-0.046014201183432024,
2025,0.00898588957055213,,0.004650177626720486,0.006686409947640692,0.0026847408385408666,,,,,0.004043025368413833,0.006221099511812378,
2026,,-0.008245559694177618,,-0.0013814132986371686,0.001255779427359549,,,,,,,
