entry_date,exit_date,entry_price,exit_price,us_ret_signal,gross_ret,net_ret
2022-07-25,2022-07-29,4222.2,4152.4,-0.009332474774628285,0.016531665956136643,0.015931665956136643
2022-07-27,2022-08-02,4228.2,4109.4,-0.011543217988544519,0.028097062579821253,0.027497062579821253
2022-08-03,2022-08-09,4128.0,4149.2,-0.006662409749416898,-0.005135658914728669,-0.005735658914728669
2022-08-18,2022-08-24,4201.0,4080.2,-0.007237805108343265,0.0287550583194478,0.0281550583194478
2022-08-22,2022-08-26,4132.4,4107.4,-0.012899988659443085,0.006049753170070615,0.0054497531700706155
2022-08-23,2022-08-29,4173.8,4084.0,-0.021400077569244558,0.02151516603574688,0.02091516603574688
2022-08-29,2022-09-02,4070.2,4020.2,-0.03368805764807725,0.01228440862856861,0.01168440862856861
2022-08-30,2022-09-05,4085.0,4017.6,-0.006666354664174867,0.016499388004896032,0.015899388004896032
2022-08-31,2022-09-06,4066.0,4046.8,-0.011028156754730456,0.004722085587801184,0.004122085587801184
2022-09-01,2022-09-07,4069.4,4055.8,-0.007817022091863413,0.0033420160220180017,0.002742016022018002
2022-09-05,2022-09-09,4006.0,4098.2,-0.010736503504379935,-0.02301547678482274,-0.02361547678482274
2022-09-06,2022-09-13,4023.8,4109.2,-0.010736503504379935,-0.021223718872707353,-0.021823718872707353
2022-09-14,2022-09-20,4072.2,3928.6,-0.04323663365763364,0.03526349393448258,0.03466349393448258
2022-09-16,2022-09-22,4015.0,3870.0,-0.011317736143598212,0.03611457036114574,0.035514570361145734
2022-09-19,2022-09-23,3931.0,3864.4,-0.0071821290788539605,0.016942253879419944,0.016342253879419944
2022-09-21,2022-09-27,3921.2,3890.2,-0.011272113092218317,0.007905743139855148,0.007305743139855148
2022-09-22,2022-09-28,3879.2,3836.6,-0.01711649374123736,0.010981645700144371,0.010381645700144371
2022-09-23,2022-09-29,3866.0,3837.6,-0.008427570124713957,0.00734609415416454,0.00674609415416454
2022-09-26,2022-09-30,3840.8,3808.4,-0.01723261637204987,0.008435742553634662,0.007835742553634662
2022-09-27,2022-10-10,3852.6,3728.2,-0.010340542018774879,0.03228988215750406,0.031689882157504054
2022-09-30,2022-10-13,3849.2,3754.8,-0.021126419721218426,0.02452457653538387,0.02392457653538387
2022-10-10,2022-10-14,3812.0,3841.4,-0.02800361595077605,-0.00771248688352566,-0.00831248688352566
2022-10-11,2022-10-17,3736.0,3837.4,-0.007492458292600368,-0.027141327623126266,-0.027741327623126266
2022-10-12,2022-10-18,3724.6,3835.4,-0.006519174466742994,-0.029748160876335694,-0.030348160876335694
2022-10-17,2022-10-21,3830.0,3734.4,-0.023662651772459076,0.024960835509138413,0.024360835509138413
2022-10-20,2022-10-26,3754.2,3656.4,-0.0066721057640094505,0.02605082307815243,0.02545082307815243
2022-10-21,2022-10-27,3756.6,3633.0,-0.00795091438397566,0.03290209231752117,0.03230209231752117
2022-10-27,2022-11-02,3678.0,3680.2,-0.007387713556034514,-0.0005981511691135477,-0.0011981511691135475
2022-10-28,2022-11-03,3624.2,3651.4,-0.006082623973199364,-0.00750510457480269,-0.00810510457480269
2022-11-01,2022-11-07,3530.2,3781.8,-0.00745440963598587,-0.0712707495326046,-0.0718707495326046
2022-11-03,2022-11-09,3661.0,3712.2,-0.02500199618780652,-0.013985249931712573,-0.014585249931712573
2022-11-04,2022-11-10,3652.6,3694.0,-0.010585979444740823,-0.011334391939987976,-0.011934391939987975
2022-11-10,2022-11-16,3696.6,3838.8,-0.02077787679095222,-0.03846778120435013,-0.03906778120435013
2022-11-15,2022-11-21,3789.0,3779.2,-0.008935769195447252,0.0025864344154130636,0.001986434415413064
2022-11-17,2022-11-23,3828.0,3780.8,-0.008252061136399536,0.01233019853709505,0.01173019853709505
2022-11-29,2022-12-05,3770.0,3948.0,-0.015444198994461256,-0.04721485411140591,-0.047814854111405916
2022-12-06,2022-12-12,3935.0,3963.2,-0.017894221087015216,-0.007166454891994967,-0.0077664548919949665
2022-12-07,2022-12-13,3964.4,3950.6,-0.014399200408138246,0.0034809807284835736,0.002880980728483574
2022-12-12,2022-12-16,3985.0,3939.0,-0.0073495714656959255,0.011543287327478002,0.010943287327478003
2022-12-15,2022-12-21,3965.0,3846.0,-0.006052716183068574,0.030012610340479196,0.029412610340479196
2022-12-16,2022-12-22,3930.0,3855.0,-0.024921682745770446,0.01908396946564883,0.01848396946564883
2022-12-19,2022-12-23,3971.0,3846.0,-0.011137752679201696,0.03147821707378495,0.030878217073784953
2022-12-20,2022-12-26,3900.0,3853.0,-0.009007517235992468,0.01205128205128203,0.01145128205128203
2022-12-23,2022-12-29,3835.0,3868.2,-0.014451687133272273,-0.008657105606258098,-0.009257105606258097
2022-12-29,2023-01-05,3868.0,3974.4,-0.01202063067180259,-0.027507755946225565,-0.028107755946225565
2023-01-06,2023-01-12,3975.2,4024.6,-0.01164553578148797,-0.012427047695713345,-0.013027047695713345
2023-01-19,2023-02-01,4121.4,4198.0,-0.015562607586626753,-0.018585917406706454,-0.019185917406706453
2023-01-20,2023-02-02,4169.0,4185.6,-0.007638347825110858,-0.0039817702086832885,-0.004581770208683288
2023-01-31,2023-02-06,4215.0,4086.6,-0.012968755823062339,0.03046263345195732,0.029862633451957322
2023-02-06,2023-02-10,4110.0,4107.6,-0.010354614157493058,0.0005839416058392999,-1.6058394160700065e-05
2023-02-07,2023-02-13,4100.0,4139.0,-0.0061404624221559345,-0.009512195121951228,-0.010112195121951228
2023-02-09,2023-02-15,4068.0,4120.4,-0.011080715658021045,-0.012881022615535809,-0.013481022615535809
2023-02-10,2023-02-16,4125.6,4090.0,-0.00882980501595021,0.008629047896063669,0.008029047896063669
2023-02-17,2023-02-23,4099.0,4108.2,-0.01378874496603455,-0.002244449865820952,-0.002844449865820952
2023-02-22,2023-02-28,4131.0,4079.2,-0.020041234195832036,0.012539336722343308,0.011939336722343308
2023-02-27,2023-03-03,4050.0,4134.4,-0.010537569023966964,-0.020839506172839473,-0.021439506172839472
2023-03-08,2023-03-14,4030.0,3988.8,-0.015326918040295179,0.010223325062034716,0.009623325062034716
2023-03-10,2023-03-16,3996.8,3941.0,-0.018459347546724625,0.013961168935148205,0.013361168935148205
2023-03-13,2023-03-17,3973.6,3974.6,-0.014478143324737514,-0.0002516609623515187,-0.0008516609623515186
2023-03-16,2023-03-22,3956.0,4003.2,-0.00698088174133582,-0.01193124368048526,-0.01253124368048526
2023-03-20,2023-03-24,3967.0,4040.6,-0.011019448119829911,-0.018553062767834527,-0.019153062767834527
2023-03-23,2023-03-29,3993.0,4009.0,-0.01646321223364211,-0.004007012271475041,-0.004607012271475041
2023-04-21,2023-04-27,4112.0,3998.0,-0.005952552882162232,0.027723735408560324,0.027123735408560324
2023-04-26,2023-05-05,3962.2,4017.8,-0.015810845435383802,-0.014032608146989034,-0.014632608146989034
2023-05-04,2023-05-10,4017.4,3997.8,-0.0069983103375026445,0.004878777318663818,0.0042787773186638185
2023-05-05,2023-05-11,4037.6,3990.2,-0.007218725172645657,0.0117396473152368,0.011139647315236801
2023-05-17,2023-05-23,3980.6,3896.2,-0.0063776875055695514,0.021202833743656724,0.020602833743656724
2023-05-24,2023-05-30,3887.2,3825.6,-0.011222025583512596,0.015846882074500912,0.015246882074500912
2023-05-25,2023-05-31,3840.0,3790.6,-0.007318613865403334,0.012864583333333401,0.012264583333333402
2023-06-01,2023-06-07,3786.0,3781.8,-0.006108614392512757,0.0011093502377178543,0.0005093502377178544
2023-06-26,2023-06-30,3813.4,3827.4,-0.007658795459064449,-0.0036712644883831747,-0.0042712644883831745
2023-07-07,2023-07-13,3812.2,3897.0,-0.007922515771833227,-0.02224437332773732,-0.02284437332773732
2023-07-21,2023-07-27,3824.2,3910.4,-0.006756896754207542,-0.022540662099262754,-0.023140662099262754
2023-07-28,2023-08-03,3898.0,4009.4,-0.006424656484370628,-0.028578758337609145,-0.029178758337609145
2023-08-03,2023-08-09,3975.2,3983.0,-0.01383955356772193,-0.0019621654256389842,-0.002562165425638984
