entry_date,exit_date,entry_price,exit_price,us_ret_signal,gross_ret,net_ret
2022-07-25,2022-07-29,2849.6,2784.8,-0.009332474774628285,0.022740033688938732,0.022140033688938732
2022-07-27,2022-08-02,2844.0,2731.8,-0.011543217988544519,0.039451476793248896,0.03885147679324889
2022-08-03,2022-08-09,2741.0,2761.4,-0.006662409749416898,-0.007442539219262967,-0.008042539219262967
2022-08-18,2022-08-24,2779.6,2708.2,-0.007237805108343265,0.025687149230105066,0.025087149230105067
2022-08-22,2022-08-26,2748.0,2757.8,-0.012899988659443085,-0.0035662299854439805,-0.00416622998544398
2022-08-23,2022-08-29,2757.6,2735.2,-0.021400077569244558,0.008123005512039483,0.007523005512039483
2022-08-29,2022-09-02,2733.2,2712.4,-0.03368805764807725,0.007610127323283922,0.007010127323283922
2022-08-30,2022-09-05,2735.0,2702.8,-0.006666354664174867,0.011773308957952366,0.011173308957952367
2022-08-31,2022-09-06,2719.0,2724.4,-0.011028156754730456,-0.001986024273630038,-0.002586024273630038
2022-09-01,2022-09-07,2754.8,2716.4,-0.007817022091863413,0.013939305938725166,0.013339305938725166
2022-09-05,2022-09-09,2703.0,2764.8,-0.010736503504379935,-0.022863485016648255,-0.023463485016648255
2022-09-06,2022-09-13,2710.8,2767.4,-0.010736503504379935,-0.020879445182234058,-0.021479445182234057
2022-09-14,2022-09-20,2741.0,2674.6,-0.04323663365763364,0.02422473549799342,0.02362473549799342
2022-09-16,2022-09-22,2733.0,2631.6,-0.011317736143598212,0.03710208562019757,0.036502085620197564
2022-09-19,2022-09-23,2685.2,2632.0,-0.0071821290788539605,0.019812304483837306,0.019212304483837307
2022-09-21,2022-09-27,2668.8,2642.0,-0.011272113092218317,0.010041966426858617,0.009441966426858617
2022-09-22,2022-09-28,2638.4,2613.4,-0.01711649374123736,0.009475439660400209,0.008875439660400209
2022-09-23,2022-09-29,2631.2,2611.8,-0.008427570124713957,0.007373061720887697,0.006773061720887697
2022-09-26,2022-09-30,2620.8,2610.0,-0.01723261637204987,0.004120879120879217,0.0035208791208792174
2022-09-27,2022-10-10,2621.0,2545.4,-0.010340542018774879,0.02884395268981299,0.02824395268981299
2022-09-30,2022-10-13,2620.0,2525.6,-0.021126419721218426,0.036030534351145116,0.03543053435114511
2022-10-10,2022-10-14,2616.6,2586.6,-0.02800361595077605,0.011465260261407928,0.010865260261407928
2022-10-11,2022-10-17,2550.4,2580.4,-0.007492458292600368,-0.011762860727728919,-0.012362860727728919
2022-10-12,2022-10-18,2539.0,2566.6,-0.006519174466742994,-0.010870421425758225,-0.011470421425758225
2022-10-17,2022-10-21,2578.0,2483.6,-0.023662651772459076,0.03661753297129566,0.03601753297129566
2022-10-20,2022-10-26,2497.2,2398.8,-0.0066721057640094505,0.03940413262854381,0.038804132628543805
2022-10-21,2022-10-27,2508.2,2379.8,-0.00795091438397566,0.05119208994498037,0.050592089944980365
2022-10-27,2022-11-02,2419.6,2418.4,-0.007387713556034514,0.0004959497437592164,-0.00010405025624078354
2022-10-28,2022-11-03,2369.2,2384.4,-0.006082623973199364,-0.006415667735944819,-0.007015667735944819
2022-11-01,2022-11-07,2311.0,2476.6,-0.00745440963598587,-0.0716572912159239,-0.0722572912159239
2022-11-03,2022-11-09,2406.2,2438.2,-0.02500199618780652,-0.01329897764109389,-0.01389897764109389
2022-11-04,2022-11-10,2388.0,2446.0,-0.010585979444740823,-0.024288107202680154,-0.024888107202680154
2022-11-10,2022-11-16,2425.2,2578.2,-0.02077787679095222,-0.06308758040573981,-0.06368758040573981
2022-11-15,2022-11-21,2531.8,2520.8,-0.008935769195447252,0.004344734971166719,0.0037447349711667195
2022-11-17,2022-11-23,2567.0,2538.0,-0.008252061136399536,0.01129723412543826,0.01069723412543826
2022-11-29,2022-12-05,2540.8,2675.8,-0.015444198994461256,-0.05313287153652402,-0.05373287153652402
2022-12-06,2022-12-12,2663.0,2676.0,-0.017894221087015216,-0.004881712354487311,-0.005481712354487311
2022-12-07,2022-12-13,2680.4,2677.2,-0.014399200408138246,0.0011938516639308228,0.0005938516639308228
2022-12-12,2022-12-16,2692.0,2676.8,-0.0073495714656959255,0.005646359583952432,0.005046359583952432
2022-12-15,2022-12-21,2695.4,2610.6,-0.006052716183068574,0.031461007642650474,0.030861007642650474
2022-12-16,2022-12-22,2669.8,2627.4,-0.024921682745770446,0.015881339426174312,0.015281339426174313
2022-12-19,2022-12-23,2703.2,2625.0,-0.011137752679201696,0.028928677123409186,0.028328677123409186
2022-12-20,2022-12-26,2646.0,2614.0,-0.009007517235992468,0.012093726379440617,0.011493726379440617
2022-12-23,2022-12-29,2610.6,2630.2,-0.014451687133272273,-0.0075078526009346724,-0.008107852600934672
2022-12-29,2023-01-05,2635.0,2705.6,-0.01202063067180259,-0.026793168880455465,-0.027393168880455464
2023-01-06,2023-01-12,2708.0,2746.2,-0.01164553578148797,-0.014106351550960072,-0.014706351550960072
2023-01-19,2023-02-01,2805.8,2827.8,-0.015562607586626753,-0.0078409009908047,-0.0084409009908047
2023-01-20,2023-02-02,2821.4,2820.2,-0.007638347825110858,0.000425320762742043,-0.00017467923725795695
2023-01-31,2023-02-06,2845.6,2734.2,-0.012968755823062339,0.039148158560584845,0.03854815856058484
2023-02-06,2023-02-10,2746.0,2751.6,-0.010354614157493058,-0.002039329934450107,-0.002639329934450107
